"Triplet 1","Triplet 2","Label"
"Gene Therapy,used in,Medicine","Stem Cell Research,used in,Biotechnology","0"
"Bitcoin,first cryptocurrency,2009","Ethereum,launched,2015","0"
"CRISPR,used for,Gene Editing","MRI,used for,Medical Imaging","0"
"Federal Reserve,controls,US Monetary Policy","World Bank,provides,International Loans","0"
"Photosynthesis,process in,Chloroplasts","Cellular Respiration,process in,Mitochondria","0"
"Tesla,market cap,Over $600 billion","ExxonMobil,market cap,Over $200 billion","0"
"Artificial Intelligence,impacts,Job Automation","Blockchain,impacts,Financial Transactions","0"
"Renewable Energy,includes,Solar Power","Fossil Fuels,includes,Coal","0"
"NASDAQ,Stock Exchange,USA","Nikkei 225,Stock Exchange,Japan","0"
"Antibiotics,treat,Bacterial Infections","Vaccines,prevent,Viral Infections","0"
"Global Warming,caused by,Greenhouse Gases","Ozone Depletion,caused by,CFCs","0"
"Google,parent company,Alphabet Inc.","Amazon,subsidiary,AWS","0"
"Dark Matter,constitutes,Universe's Mass","Higgs Boson,part of,Standard Model of Particle Physics","0"
"Elon Musk,founded,SpaceX","Jeff Bezos,founded,Blue Origin","0"
"Supply Chain Management,crucial in,Business Operations","Human Resources,crucial in,Employee Management","0"
"Hydrogen Bonds,important in,DNA Structure","Ionic Bonds,important in,Salt Formation","0"
"Financial Crisis,2008,Affected Global Economy","Dot-com Bubble,burst in,2000","0"
"SpaceX,revolutionized,Space Industry","Uber,revolutionized,Transportation Industry","0"
"Vitamin C,essential for,Immune Function","Calcium,essential for,Bone Health","0"
"Tesla,promotes,Electric Vehicles","Toyota,known for,Hybrid Vehicles","0"
"International Space Station,collaboration,Multiple Countries","CERN,collaboration,Particle Physics Research","0"
"Bitcoin,uses,Blockchain Technology","Cloud Computing,uses,Data Centers","0"
"Recycling,reduces,Waste","Composting,enriches,Soil","0"
"Apple,largest tech company,Market Value","Saudi Aramco,largest oil company,Market Value","0"
"Machine Learning,subset of,Artificial Intelligence","Calculus,part of,Mathematics","0"
"5G Technology,enables,Faster Internet","Fiber Optics,enables,High-speed Data Transmission","0"
"Economics,study of,Resource Allocation","Psychology,study of,Human Behavior","0"
"Electric Car,innovation by,Tesla","Smartphone,innovation by,Apple","0"
"Quantum Entanglement,phenomenon in,Quantum Mechanics","General Relativity,theory by,Albert Einstein","0"
"NASDAQ,influenced by,Tech Stocks","Dow Jones,influenced by,Industrial Stocks","0"
"Plastic Pollution,affects,Oceans","Air Pollution,affects,Respiratory Health","0"
"Stem Cells,potential in,Regenerative Medicine","Antioxidants,role in,Preventing Cell Damage","0"
"Inflation,affects,Purchasing Power","Interest Rates,affect,Loan Costs","0"
"Hydraulic Fracturing,method in,Oil Extraction","Solar Panels,method in,Renewable Energy","0"
"Venture Capital,funds,Startups","Crowdfunding,supports,Small Projects","0"
"Albert Einstein,known for,Theory of Relativity","Marie Curie,known for,Radioactivity Research","0"
"Genetically Modified Organisms,controversy in,Food Industry","Organic Farming,trend in,Sustainable Agriculture","0"
"Stock Market,indicator of,Economic Trends","Gross Domestic Product,indicator of,National Economy","0"
"Neural Networks,concept in,Deep Learning","Game Theory,concept in,Economics","0"
"Water Scarcity,challenge in,Environmental Sustainability","Deforestation,challenge in,Biodiversity","0"
"Fracking,impacts,Natural Gas Production","Wind Turbines,impact,Renewable Energy Production","0"
"OPEC,influences,Oil Prices","Federal Reserve,influences,Interest Rates","0"
"Microeconomics,focuses on,Individual Markets","Macroeconomics,focuses on,National Economy","0"
"Nuclear Fusion,potential source,Clean Energy","Solar Energy,source of,Renewable Energy","0"
"Unemployment Rate,measure of,Labor Market","Inflation Rate,measure of,Economy's Health","0"
"Silicon Valley,center of,Tech Industry","Wall Street,center of,Financial Industry","0"
"Biotechnology,applies,Genetic Engineering","Nanotechnology,applies,Material Science","0"
"Organic Chemistry,studies,Carbon Compounds","Astrophysics,studies,Universe's Structure","0"
"Climate Change,impact on,Global Weather Patterns","Urbanization,impact on,Habitat Loss","0"
"IMF,provides,Financial Assistance","UNESCO,promotes,Education and Culture","0"
"Genome Sequencing,used in,Genetic Research","Particle Accelerators,used in,Physics Research","0"
"Venture Capital,invests in,High-growth Companies","Hedge Funds,invest in,Diverse Assets","0"
"Cell Theory,foundation of,Biology","Plate Tectonics,foundation of,Geology","0"
"Monetary Policy,controlled by,Central Banks","Fiscal Policy,controlled by,Governments","0"
"Artificial Neural Networks,used in,Machine Learning","Quantum Computers,used in,Complex Calculations","0"
"Amazon,dominates,E-commerce Market","Netflix,dominates,Streaming Market","0"
"Electricity Generation,transition to,Renewable Sources","Automotive Industry,transition to,Electric Vehicles","0"
"Greenhouse Effect,causes,Global Warming","Acid Rain,caused by,Industrial Pollution","0"
"Tech Startups,driven by,Innovation","Manufacturing Sector,driven by,Mass Production","0"
"Bitcoin,decentralized,Digital Currency","Credit Cards,widespread,Payment Method","0"
"Renewable Energy,reduces,Carbon Emissions","Energy Efficiency,reduces,Power Consumption","0"
"Stock Exchange,trades,Shares","Commodity Market,trades,Raw Materials","0"
"Antibiotic Resistance,challenge in,Healthcare","Cybersecurity,challenge in,Information Technology","0"
"Data Mining,used for,Knowledge Discovery","Virtual Reality,used for,Immersive Experiences","0"
"Federal Reserve,adjusts,Interest Rates","Securities and Exchange Commission,regulates,Stock Market","0"
"Big Bang,explains,Universe's Origin","Evolution,explains,Species Development","0"
"Human Genome Project,mapped,Human DNA","Hubble Space Telescope,explored,Outer Space","0"
"Alibaba,Chinese,E-commerce Giant","Samsung,South Korean,Electronics Giant","0"
"Artificial Intelligence,transforming,Industries","Blockchain Technology,transforming,Financial Transactions","0"
"Public Debt,reflects,Government's Borrowing","Gross National Product,reflects,Country's Economy","0"
"3D Printing,revolutionizing,Manufacturing","Internet of Things,revolutionizing,Connectivity","0"
"Climate Accord,aims at,Reducing Emissions","Trade Agreement,aims at,Reducing Tariffs","0"
"NASDAQ Composite,stock market index,USA","S&P 500,stock market index,USA","0"
"Warren Buffett,CEO,Berkshire Hathaway","Berkshire Hathaway,major shareholder,Apple Inc.","0"
"Roth IRA,retirement savings,After-tax Contributions","Traditional IRA,retirement savings,Pre-tax Contributions","0"
"Goldman Sachs,offers,Investment Banking Services","Morgan Stanley,offers,Investment Banking Services","0"
"Investment Funds,manage,Collective Investments","Hedge Funds,manage,High-wealth Investments","0"
"Franchise Business,operates under,Established Brand","Independent Business,operates under,Own Brand","0"
"Market Liquidity,ease of,Asset Trading","Market Volatility,extent of,Price Fluctuations","0"
"Central Bank,issuer of,National Currency","Treasury Department,manager of,Government Revenue","0"
"Economic Diversification,reduces,Dependence on One Sector","Economic Specialization,focuses on,One Sector","0"
"Retail Banking,serves,General Public","Corporate Banking,serves,Business Clients","0"
"Credit Card,type of,Revolving Credit","Mortgage Loan,type of,Secured Loan","0"
"Debt Financing,involves,Borrowing Money","Equity Financing,involves,Selling Shares","0"
"Stock Exchange,platform for,Trading Stocks","Commodities Exchange,platform for,Trading Commodities","0"
"B2B Model,business to,Business Transactions","B2C Model,business to,Consumer Transactions","0"
"Foreign Direct Investment,direct investment,Overseas Business","Portfolio Investment,indirect investment,Foreign Securities","0"
"Economic Stimulus,government's attempt to,Boost Economy","Austerity Measures,government's attempt to,Reduce Deficit","0"
"Silicon Valley,hub for,Tech Startups","Wall Street,hub for,Financial Firms","0"
"Online Banking,enables,Digital Transactions","Mobile Banking,enables,Banking on Smartphone","0"
"Fiscal Deficit,government's,Expenditure Exceeds Income","Trade Surplus,country's,Exports Exceed Imports","0"
"Sustainable Development,aims for,Environmental Sustainability","Economic Development,aims for,Improvement in Standards of Living","0"
"Private Sector,part of,Economy not State-Controlled","Public Sector,part of,Economy State-Controlled","0"
"Commodity Prices,influenced by,Supply and Demand","Stock Prices,influenced by,Investor Sentiment","0"
"Microfinance,provides,Small Loans","Commercial Lending,provides,Large Loans","0"
"Startup Ecosystem,environment for,New Businesses","Corporate Environment,environment for,Established Companies","0"
"Digital Wallet,allows,Electronic Transactions","Physical Wallet,holds,Cash and Cards","0"
"Business Plan,outlines,Company's Strategy","Marketing Plan,outlines,Company's Marketing Efforts","0"
"Interest Rate Hike,leads to,Higher Borrowing Costs","Interest Rate Cut,leads to,Lower Borrowing Costs","0"
"Derivatives Market,trades,Contracts Based on Assets","Equities Market,trades,Company Shares","0"
"Income Statement,reveals,Company's Profitability","Balance Sheet,reveals,Company's Financial Position","0"
"Inflation Targeting,central bank policy to,Control Inflation","Quantitative Easing,central bank policy to,Stimulate Economy","0"
"JP Morgan,founder,JP Morgan Chase","JP Morgan Chase,CEO,Jamie Dimon","0"
"Berkshire Hathaway,CEO,Warren Buffett","Berkshire Hathaway,owns,GEICO","0"
"Visa,type,Payment Network","Mastercard,type,Payment Network","0"
"PayPal,offers,Online Payments","Square,offers,Payment Processing","0"
"Cryptocurrency,uses,Blockchain Technology","Digital Currency,example,Bitcoin","1"
"Unemployment Rate,reflects,Job Market Health","GDP Growth Rate,reflects,Economic Growth","0"
"Federal Funds Rate,set by,Federal Reserve","Bank Rate,set by,Central Bank","0"
"Consumer Price Index,measures,Inflation","Producer Price Index,measures,Wholesale Prices","0"
"Supply Chain Logistics,involves,Product Distribution","Operations Management,involves,Business Operations","0"
"Labor Market,affected by,Unemployment Rates","Housing Market,affected by,Interest Rates","0"
"European Central Bank,manages,Eurozone Monetary Policy","Bank of England,manages,UK Monetary Policy","0"
"Financial Regulation,ensures,Market Stability","Environmental Regulation,ensures,Sustainable Practices","0"
"Emerging Markets,characterized by,High Growth Potential","Mature Markets,characterized by,Low Growth Potential","0"
"Angel Investor,provides,Early Stage Funding","Venture Capitalist,provides,Growth Stage Funding","0"
"Stock Options,part of,Employee Compensation","Profit Sharing,part of,Employee Benefits","0"
"Monopolistic Competition,market,Many Sellers","Perfect Competition,market,Homogeneous Products","0"
"Commodities Trading,involves,Physical Goods","Stock Trading,involves,Equity Securities","0"
"Real GDP,adjusted for,Inflation","Nominal GDP,not adjusted for,Inflation","0"
"Tech Sector,known for,Rapid Innovation","Manufacturing Sector,known for,Large Scale Production","0"
"Brick and Mortar Store,traditional,Retail Outlet","Online Marketplace,digital,Retail Platform","0"
"Bond Yield,return on,Investment","Stock Dividend,return on,Investment","0"
"Startup Incubator,supports,New Entrepreneurs","Business Accelerator,fast-tracks,Growth","0"
"Credit Risk,associated with,Lending","Market Risk,associated with,Investing","0"
"Balance Sheet,shows,Financial Position","Income Statement,shows,Profit and Loss","0"
"Market Economy,driven by,Supply and Demand","Command Economy,driven by,Government Planning","0"
"Financial Audit,examines,Financial Statements","Compliance Audit,examines,Regulatory Adherence","0"
"Sole Proprietorship,single,Owner","Partnership,two or more,Owners","0"
"Net Income,measures,Profitability","Revenue,measures,Sales","0"
"Fixed Costs,constant,Production Level","Variable Costs,change with,Production Level","0"
"Direct Investment,involves,Active Management","Portfolio Investment,involves,Passive Management","0"
"Dow Jones Industrial Average,type,Stock Market Index","Dow Jones,measures,Industrial Sector","1"
"Elon Musk,CEO,SpaceX","Elon Musk,founder,SpaceX","1"
"European Union,currency,Euro","EU,common currency,Euro","1"
"Goldman Sachs,type,Investment Bank","Goldman Sachs Group,offers,Financial Services","1"
"World Bank,aims,Reduce Poverty","World Bank Group,international organization,Poverty Reduction","1"
"NASDAQ,known for,Technology Stocks","NASDAQ Composite,index,Tech Companies","1"
"Airbnb,operates in,Hospitality Industry","Airbnb Inc.,provides,Online Lodging Platform","1"
"Netflix,streaming service,Entertainment","Netflix Inc.,offers,Video Streaming","1"
"Bitcoin,first,Cryptocurrency","Bitcoin,digital currency,Decentralized","1"
"Federal Reserve,known as,The Fed","Federal Reserve System,central banking,United States","1"
"Saudi Aramco,largest,Oil Company","Saudi Arabian Oil Company,full name,Saudi Aramco","1"
"OPEC,deals with,Oil Pricing","Organization of Petroleum Exporting Countries,full form,OPEC","1"
"Lloyd's of London,specializes in,Insurance","Lloyd's,insurance market,London","1"
"International Monetary Fund,role,Financial Stability","IMF,assists,Economic Crises","1"
"US Treasury,issues,Government Bonds","United States Treasury,manages,Public Finance","1"
"Moody's,provides,Credit Ratings","Moody's Corporation,rating agency,Financial Analysis","1"
"Foreign Exchange Market,trades,Currencies","Forex Market,deals in,Currency Trading","1"
"Market Capitalization,reflects,Company's Size","Market Cap,value,Stocks Outstanding","1"
"Franchising,business model,Brand Extension","Franchise,operates under,Parent Company's Name","0"
"Quantitative Easing,stimulus,Economy","Fiscal Stimulus,government spending,Economy","0"
"Corporate Bond,debt security,Companies","Government Bond,debt security,Governments","0"
"Blue Chip Companies,known for,Stability","Tech Startups,known for,Innovation","0"
"Oil Futures,derivative,Crude Oil","Gold Futures,derivative,Gold Market","0"
"Merger,combines,Two Companies","Acquisition,one company,Buys Another","0"
"Initial Public Offering,company,Goes Public","Private Placement,limited,Investors","0"
"Venture Capital,targets,Early-stage Companies","Private Equity,targets,Mature Companies","0"
"Subprime Mortgage,high risk,Loans","Prime Mortgage,low risk,Loans","0"
"Interest Rates,control,Money Supply","Taxes,control,Government Revenue","0"
"Consumer Confidence,indicates,Spending Willingness","Business Confidence,indicates,Investment Willingness","0"
"Economic Inflation,rise,Prices","Economic Deflation,fall,Prices","0"
"Investment Banking,sector in,Finance","Retail Banking,sector in,Finance","0"
"Adam Smith,known for,The Wealth of Nations","John Maynard Keynes,known for,Keynesian Economics","0"
"Federal Reserve,implements,Monetary Policy","IRS,implements,Tax Policy","0"
"NASDAQ,stock exchange,Tech Companies","NYSE,stock exchange,Diverse Industries","0"
"World Economic Forum,hosts,Davos Summit","International Monetary Fund,hosts,Annual Meetings","0"
"Gross Domestic Product,indicator,Economic Health","Unemployment Rate,indicator,Labor Market","0"
"Bitcoin,example of,Cryptocurrency","Gold,example of,Commodity","0"
"Silicon Valley,hub for,Technology Companies","Wall Street,hub for,Financial Firms","0"
"Trade Deficit,reflects,Import Excess","Budget Surplus,reflects,Revenue Excess","0"
"Outsourcing,strategy in,Business","Automation,strategy in,Manufacturing","0"
"Credit Score,important for,Loan Approval","Market Capitalization,important for,Company Valuation","0"
"Supply Chain,critical in,Product Distribution","Human Resources,critical in,Workforce Management","0"
"E-commerce,transformed by,Online Shopping","Retail,transformed by,Digital Payments","0"
"Inflation,erodes,Purchasing Power","Deflation,leads to,Reduced Spending","0"
"Venture Capital,finances,Startups","Angel Investing,finances,Early-stage Companies","1"
"Blockchain,underpins,Bitcoin","Internet,underpins,E-commerce","0"
"Renewable Energy,sector,Sustainable Development","Oil and Gas,sector,Energy Industry","0"
"Stock Market,reflects,Economic Sentiment","Consumer Confidence,reflects,Economic Outlook","0"
"Artificial Intelligence,impacts,Financial Services","Robotics,impacts,Manufacturing Industry","0"
"Minimum Wage,affects,Labor Market","Interest Rates,affect,Borrowing Costs","0"
"Uber,disruptor in,Transportation Sector","Airbnb,disruptor in,Hospitality Sector","0"
"Debt Financing,raises capital through,Loans","Equity Financing,raises capital through,Stock Issuance","0"
"Monopoly,market with,Single Producer","Oligopoly,market with,Few Producers","0"
"Microeconomics,focuses on,Individual Behavior","Macroeconomics,focuses on,Whole Economies","0"
"Foreign Exchange Market,trades,Currencies","Commodities Market,trades,Natural Resources","0"
"Corporate Tax,levied on,Company Profits","Sales Tax,levied on,Retail Purchases","0"
"Financial Derivatives,include,Options and Futures","Stocks and Bonds,traditional,Investment Vehicles","0"
"Economic Recession,period of,Economic Decline","Economic Boom,period of,Rapid Growth","0"
"Subprime Mortgage Crisis,led to,2008 Financial Crisis","Dotcom Bubble,led to,Early 2000s Recession","0"
"NASDAQ,influenced by,Tech Sector Performance","Dow Jones,influenced by,Industrial Sector Performance","0"
"European Central Bank,ECB,Monetary Authority","ECB,European Central Bank,Eurozone's Central Bank","1"
"Goldman Sachs,investment banking,Financial Services","Goldman Sachs Group,banking firm,Wall Street","1"
"Dow Jones Industrial Average,stock index,USA","Dow Jones,American stock market index,Financial Markets","1"
"London Stock Exchange,LSE,Financial Market","LSE,London Stock Exchange,Stock Market","1"
"World Bank,international financial institution,Development Projects","World Bank Group,provides loans,Developing Countries","1"
"Standard & Poor's,credit rating agency,Financial Services","S&P,Standard and Poor's,Financial Market Intelligence","1"
"NYSE,New York Stock Exchange,Stock Market","New York Stock Exchange,NYSE,Equities Market","1"
"NASDAQ Composite,stock index,Technology Stocks","NASDAQ Index,tracks,Tech Companies","1"
"Bitcoin,first digital currency,Cryptocurrency","Bitcoin,BTC,Digital Payment System","1"
"Federal Reserve System,central banking,United States","Fed,Federal Reserve,US Central Bank","1"
"International Finance Corporation,IFC,World Bank Group","IFC,International Finance Corporation,Investment Services","1"
"Moody's Investors Service,credit rating,Financial Services","Moody's,provides credit ratings,Bond Market","1"
"Barclays,multinational bank,Financial Services","Barclays PLC,banking corporation,United Kingdom","1"
"Organization of Petroleum Exporting Countries,OPEC,Oil Export","OPEC,Organization of Petroleum Exporting Countries,Crude Oil","1"
"Credit Suisse,financial services company,Banking","Credit Suisse Group,Swiss bank,Wealth Management","1"
"Berkshire Hathaway,multinational conglomerate,Warren Buffett","Berkshire Hathaway Inc.,holding company,Investment","1"
"Unemployment Benefits,provided by,Government","Welfare Benefits,support,Low-Income Individuals","0"
"Income Tax,direct tax,Earnings","Sales Tax,indirect tax,Purchases","0"
"Private Equity,invests in,Non-Public Companies","Public Equity,invests in,Stock Market","0"
"Digital Wallet,used for,Mobile Payments","Credit Card,used for,Electronic Payments","0"
"Offshore Banking,involves,Foreign Banks","Retail Banking,involves,Consumer Banking Services","0"
"Consumer Confidence,indicates,Economic Optimism","Business Sentiment,indicates,Corporate Outlook","0"
"Real GDP,adjusts for,Inflation","Nominal GDP,current market prices,Economic Measure","0"
"Supply Chain Finance,optimizes,Payment Processes","Trade Finance,facilitates,International Trade","0"
"Green Bonds,finance,Environmental Projects","Junk Bonds,high-risk,High Yield Investments","0"
"Lehman Brothers,bankruptcy,2008 Financial Crisis","Enron,bankruptcy,Corporate Fraud","0"
"Sustainable Development Goals,UN,Global Goals","Millennium Development Goals,UN,2000-2015","0"
"Foreign Exchange Reserves,held by,Central Banks","Gold Reserves,held by,National Governments","0"
